source,title,url,published_at,section,author,summary,tags
lavanguardia,"¿Sánchez está “jodío”?, por Isabel Garcia Pagan",https://www.lavanguardia.com/politica/20260314/11489455/sanchez-esta-jodio.html,2026-03-13T23:05:00+00:00,Política,,"Mientras el milagro económico de Pedro Sánchez recorría titulares en el extranjero y el presidente exhibía en los mítines el catálogo de avances sociales impulsados por su Gobierno, más de la mitad de los españoles daba por hecho que la situación económica empeoraba y",
lavanguardia,"Fernández Díaz y Ábalos, en el banquillo: una singular coincidencia",https://www.lavanguardia.com/politica/20260314/11489434/fernandez-diaz-abalos-banquillo-singular-coincidencia.html,2026-03-13T23:15:31+00:00,Política,,Los juicios del caso Kitchen contra el exministro del PP y Mascarillas contra el ex secretario de organización del PSOE se celebrarán los mismos días,
lavanguardia,Feijóo pide una victoria “contundente” para evitar el bloqueo de Abascal,https://www.lavanguardia.com/politica/20260313/11489480/feijoo-pide-victoria-contundente-evitar-bloqueo-abascal.html,2026-03-13T19:46:03+00:00,Política,,"“Con nosotros, hay cambio”, defiende el líder del PP, que desea que a Vox “le vaya mal”",
lavanguardia,Sánchez agita el no a la guerra: “Hoy España reivindica la paz y la derecha reivindica a Aznar”,https://www.lavanguardia.com/politica/20260313/11489470/sanchez-agita-guerra-hoy-espana-reivindica-paz-derecha-reivindica-aznar.html,2026-03-13T19:35:40+00:00,Política,,"El jefe del Ejecutivo echa el resto con Zapatero para sacar a su electorado de la abstención, y el expresidente acusa a Aznar de seguir instalado en su “delirio autoexculpatorio” sobre los atentados del 11-M",
lavanguardia,Vox hace una demostración de fuerza con un cierre de campaña multitudinario en Valladolid,https://www.lavanguardia.com/politica/20260313/11489482/vox-demostracion-fuerza-valladolid-mitin-multitudinario.html,2026-03-13T19:47:14+00:00,Política,,Abascal protagoniza el último acto donde se compromete a llegar a un acuerdo para gobernar la comunidad de Castilla y León,
lavanguardia,El primer corredor de transporte sanitario con drones de España se implantará entre Lleida y Tremp,https://www.lavanguardia.com/local/lleida/20260313/11489141/primer-corredor-transporte-sanitario-drones-espana-implantara-lleida-tremp.html,2026-03-13T12:28:58+00:00,2026-03-13T13:28:58+01:00,,Cbrirá el trayecto entre el Hospital Universitario Arnau de Vilanova de Lleida y el Hospital Comarcal del Pallars de Tremp,
lavanguardia,Los Reyes Felipe VI y Letizia se reunirán el próximo viernes 20 de marzo con el Papa,https://www.lavanguardia.com/politica/20260313/11489391/reyes-felipe-vi-letizia-reuniran-proximo-viernes-20-marzo-papa.html,2026-03-13T17:00:04+00:00,Política,,"Felipe VI tomará posesión como protoconónigo de Santa María la Mayor, la basílica donde se encuentra la tumba del papa Francisco",
lavanguardia,El PP pide explorar la “vía Venezuela” para comprar petróleo ante el bloqueo de Ormuz,https://www.lavanguardia.com/politica/20260313/11489379/pp-pide-explorar-venezuela-comprar-petroleo-bloqueo-ormuz.html,2026-03-13T16:25:04+00:00,Política,,El partido es crítico con el regimen de Delcy Rodríguez y se decanta por la líder opositora María Corina Machado,
lavanguardia,"El PP y Cecot abordan el impulso de rebajas fiscales, apoyo a autónomos y el mercado laboral",https://www.lavanguardia.com/politica/20260313/11489333/pp-cecot-abordan-impulso-rebajas-fiscales-apoyo-autonomos-mercado-laboral.html,2026-03-13T16:23:27+00:00,Política,,Los populares y la patronal coinciden en la necesidad de mejorar la competitividad fiscal en Catalunya y discrepan sobre el modelo de financiación,
lavanguardia,Exteriores publica el texto en español del tratado sobre Gibraltar,https://www.lavanguardia.com/politica/20260313/11489355/exteriores-publica-texto-espanol-tratado-sobre-gibraltar.html,2026-03-13T16:08:26+00:00,Política,,"El acuerdo, firmado en junio del 2025, recoge la supresión de las barreras y controles sobre las personas y bienes entre España y Gibraltar y preserva el espacio Schengen y el mercado único de la UE",
